contract_id,source_length,parse_time,stg_build_time,detection_time,total_static_time
sb_fcacbdf48076,1337,0.0010497000000100343,5.700000002661909e-06,9.999999406318238e-08,0.0010555000000067594
sb_2128ca050946,899,0.0005378000000177963,1.9999999949504854e-06,9.999999406318238e-08,0.0005399000000068099
sb_6171f7c92d5a,26708,0.05023790000001327,2.4400000000923683e-05,1.9999998812636477e-07,0.05026250000000232
sb_85952d4855d8,812,0.0004985999999860269,3.3000000030369847e-06,9.999999406318238e-08,0.0005019999999831271
sb_4f6960a84c3d,849,0.00039409999999406864,3.4999999911633495e-06,9.999999406318238e-08,0.00039769999997929517
sb_3ea414a7d282,1140,0.0005520999999930609,2.700000010236181e-06,9.999999406318238e-08,0.0005548999999973603
sb_53dcfd96beb6,621,0.00025740000000951113,1.6000000186977559e-06,1.9999998812636477e-07,0.00025920000001633525
sb_d0d1d9c65414,4903,0.002469399999995403,4.100000012385863e-06,1.0000002248489182e-07,0.002473600000030274
sb_74fecd9a7e34,890,0.0004921000000024378,1.7000000127609383e-06,9.999999406318238e-08,0.0004939000000092619
sb_2945981f9e38,3586,0.0018781999999930576,4.899999993313031e-06,9.999999406318238e-08,0.0018831999999804339
sb_ff02571525b0,798,0.0003709000000071683,2.700000010236181e-06,9.999999406318238e-08,0.00037370000001146764
sb_3cf407b311e3,568,0.0003347999999903095,1.6999999843392288e-06,1.0000002248489182e-07,0.00033659999999713364
sb_10a78792f4f1,1033,0.0004038999999806947,2.4999999936881068e-06,9.999999406318238e-08,0.000406499999968446
sb_1336f802d8a5,1728,0.0008103000000119209,4.799999999249849e-06,9.999999406318238e-08,0.000815200000005234
sb_03a03f323371,1009,0.000543099999987362,3.800000001774606e-06,9.999999406318238e-08,0.0005469999999831998
sb_6a7e5b5d3698,4093,0.0022404000000051383,5.200000003924288e-06,9.999999406318238e-08,0.0022457000000031258
sb_0196d033850b,1700,0.002110999999985097,1.950000000761065e-05,3.000000106112566e-07,0.002130800000003319
sb_bcd0fdfad9f6,1386,0.0006467000000043299,4.9999999873762135e-06,1.9999998812636477e-07,0.0006518999999798325
sb_97a35d9e5941,1703,0.001040299999999661,1.28000000074735e-05,3.000000106112566e-07,0.0010534000000177457
sb_16b738d378a6,1635,0.001337900000009995,1.100000000064938e-05,1.9999998812636477e-07,0.0013490999999987707
sb_7ba4aa075db5,1626,0.0008063999999876614,6.2000000013995304e-06,1.9999998812636477e-07,0.0008127999999771873
sb_295dba1924e8,1743,0.0007940000000132841,5.100000009861105e-06,1.0000002248489182e-07,0.0007992000000456301
sb_5bb1f99cb610,1530,0.0005992000000105691,3.399999997100167e-06,1.9999998812636477e-07,0.0006027999999957956
sb_abaee4488075,1636,0.0005435999999860996,3.3000000030369847e-06,9.999999406318238e-08,0.0005469999999831998
sb_df9a3f0d481d,1534,0.0005931999999972959,2.900000026784255e-06,9.999999406318238e-08,0.0005962000000181433
sb_14de5808a50f,1405,0.0005204999999932625,2.8000000042993634e-06,9.999999406318238e-08,0.000523399999991625
sb_dafac629c62d,1534,0.0005741999999884229,2.8000000042993634e-06,9.999999406318238e-08,0.0005770999999867854
sb_3f826e89f8ac,1489,0.0005470000000116215,2.8999999983625457e-06,9.999999406318238e-08,0.0005500000000040473
sb_810460102ccb,1846,0.0006571000000121785,2.700000010236181e-06,9.999999406318238e-08,0.0006599000000164779
sb_cd74aa8fc17e,1625,0.0005979999999965457,3.0999999864889105e-06,9.999999406318238e-08,0.0006011999999770978
sb_1e976e2c8b7b,1398,0.0004878000000019256,2.8999999983625457e-06,1.0000002248489182e-07,0.000490800000022773
sb_602cf4476aff,1390,0.00043039999999905376,2.8999999983625457e-06,9.999999406318238e-08,0.0004333999999914795
sb_59ebd4fa5520,1404,0.0005026000000043496,2.8000000042993634e-06,9.999999406318238e-08,0.0005055000000027121
sb_c759773107c6,1847,0.0006549000000006799,2.4999999936881068e-06,9.999999406318238e-08,0.0006574999999884312
sb_de734bd2aa98,1530,0.0005987000000118314,2.700000010236181e-06,9.999999406318238e-08,0.0006015000000161308
sb_b7adb5de46b0,1532,0.0005788999999936095,2.700000010236181e-06,1.0000002248489182e-07,0.0005817000000263306
sb_63d14a7dd1a1,635,0.0002428999999892767,1.9999999949504854e-06,1.0000002248489182e-07,0.00024500000000671207
sb_bffe7255c351,950,0.0005117999999981748,1.9999999949504854e-06,9.999999406318238e-08,0.0005138999999871885
sb_5675bc25a679,1420,0.0006812999999965541,2.4999999936881068e-06,9.999999406318238e-08,0.0006838999999843054
sb_78ebf8f92bb9,722,0.00047390000000291366,4.799999999249849e-06,9.999999406318238e-08,0.0004787999999962267
sb_32a61297b7da,1035,0.0009354999999970914,8.300000018834908e-06,1.9999998812636477e-07,0.0009440000000040527
sb_438fda72fcc6,832,0.0004890000000159489,5.499999986113835e-06,1.9999998812636477e-07,0.0004946999999901891
sb_e507ae792671,690,0.0003381000000217682,2.700000010236181e-06,9.999999406318238e-08,0.0003409000000260676
